model,accuracy,macro_f1,weighted_f1
random_forest,0.7755056777856636,0.774635315265664,0.7726957922196691
logistic_pca,0.7448101490418737,0.7440569073052243,0.7421340776226251
gaussian_nb_pca,0.5016855926188787,0.4201432350474224,0.45025622775360724
dummy_majority,0.43075762952448543,0.3010696016121532,0.2593760558246646
